UniProtID,ProteinName,mean_Case,mean_Control,log2foldchange,p_value,t_value
P39019,RPS19,15.1769333370699,15.3016476208943,-0.124714283824364,0.499773210908406,-0.676262573045172
P14314,PRKCSH,17.5842262380394,17.7094764453681,-0.125250207328762,0.195933220997784,-1.297422772398
Q96IY4,CPB2,14.5956460810194,14.7226466676423,-0.127000586622941,0.00939038473250779,-2.60916589484215
O60716,CTNND1,9.55974210214687,9.68752267883497,-0.127780576688105,0.153976206139471,-1.42998293190681
P02760,AMBP,19.7934311562419,19.9241156654143,-0.130684509172326,0.0358452396758334,-2.10514148103216
Q96HR3,MED30,17.4768912059507,17.6082623489182,-0.131371142967502,0.0797882405097683,-1.75662910178908
O75882,ATRN,14.6714814028454,14.8045593024471,-0.133077899601735,0.0160084128043473,-2.41824848023749
P01008,SERPINC1,19.8622278233762,19.9961653541782,-0.133937530801916,0.0244825021408942,-2.25719029907232
Q9UHG3,PCYOX1,12.8991359799119,13.0385450484596,-0.139409068547652,0.0545101231732297,-1.92967851545537
P23368,ME2,13.5808050549802,13.7208030756599,-0.13999802067973,0.319246466490012,-0.99788695461669
Q00839,HNRNPU,16.4334500308064,16.5742675252371,-0.140817494430742,0.12054870994563,-1.55655239603236
P11532,DMD,12.5692312227403,12.7112695545687,-0.14203833182842,0.0734977254468372,-1.79899258013598
P32119,PRDX2,12.603389552216,12.7467967243473,-0.143407172131321,0.218454094663203,-1.23282839662863
Q16401,PSMD5,11.4408191238945,11.5853917700012,-0.144572646106706,0.316119258660922,-1.00546214885815
Q01581,HMGCS1,13.8898785894366,14.0353092874173,-0.145430697980707,0.0873972830206268,-1.71492126825657
P18206,VCL,14.8674216727392,15.0150019372948,-0.147580264555558,0.228855685548466,-1.20761105106781
P02774,GC,20.1455131271613,20.2933136142661,-0.147800487104721,0.0115921056986217,-2.53501491129231
P11047,LAMC1,17.7212468804457,17.8700233148275,-0.148776434381762,0.131022164615529,-1.51617883891063
P54108,CRISP3,11.1904719884806,11.3404644632715,-0.149992474790887,0.0134055504206066,-2.48414998901295
P08697,SERPINF2,18.1569846118436,18.3100627090225,-0.153078097178874,0.011924543287181,-2.52491170692519
P02765,AHSG,18.3780728137284,18.5326145807733,-0.15454176704494,0.0375761184211422,-2.08579871314633
Q15029,EFTUD2,13.9122269238504,14.0675902155596,-0.155363291709149,0.0567415383448746,-1.91188167193556
